dcode,name,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559
1001,พระนคร,-2.25%,-2.16%,-2.53%,-1.73%,-2.56%,-1.60%,-1.98%,-2.31%,-2.13%,-3.09%
1002,ป้อมปราบศัตรูพ่าย,-1.72%,-0.95%,-1.93%,-2.61%,-2.40%,-0.78%,-1.07%,-2.26%,-1.12%,-4.63%
1003,สัมพันธวงศ์,3.94%,3.61%,2.78%,2.45%,2.04%,1.85%,1.74%,1.65%,1.17%,2.04%
1004,ปทุมวัน,-1.22%,-1.26%,-2.07%,-0.95%,-2.05%,0.05%,0.00%,0.78%,0.29%,1.51%
1005,บางรัก,0.52%,0.82%,1.12%,1.22%,0.05%,0.79%,0.43%,0.06%,-0.07%,0.16%
1006,ยานนาวา,0.19%,0.10%,-0.08%,-0.37%,-0.64%,-0.10%,2.78%,-0.69%,-1.64%,-0.45%
1007,สาธร,-1.71%,-1.25%,-2.35%,-2.53%,-4.13%,-1.97%,-7.09%,-1.62%,3.19%,-2.47%
1008,บางคอแหลม,-2.22%,-1.74%,-3.30%,-1.97%,-2.68%,-2.23%,-3.68%,-0.19%,-0.71%,-2.40%
1009,ดุสิต,0.41%,-0.71%,-0.93%,-1.26%,-1.23%,-1.08%,-0.74%,-0.35%,-0.26%,-0.98%
1010,บางซื่อ,3.99%,2.59%,1.61%,1.41%,0.89%,0.78%,0.99%,0.80%,0.40%,0.63%
1011,พญาไท,1.64%,1.85%,3.42%,3.24%,2.14%,1.53%,1.47%,1.56%,0.72%,1.43%
1012,ราชเทวี,-0.36%,-0.77%,-1.83%,-1.75%,-2.14%,-1.15%,-0.45%,-0.39%,-0.57%,-1.00%
1013,ห้วยขวาง,-1.59%,-1.82%,-2.68%,-2.27%,-2.15%,-2.05%,-1.80%,-2.13%,-1.88%,-4.17%
1014,ดินแดง,-0.18%,-0.94%,-1.29%,-1.06%,-1.55%,-0.61%,-0.81%,-0.40%,0.11%,-0.25%
1015,พระโขนง,-1.90%,-1.80%,-2.14%,-1.88%,-2.38%,-1.56%,-1.76%,-1.88%,-1.48%,-2.28%
1016,คลองเตย,-1.52%,-1.67%,-2.17%,-1.29%,-2.32%,-2.20%,-1.60%,-1.52%,-0.66%,-2.38%
1017,ประเวศ,0.83%,-0.11%,0.05%,0.40%,0.55%,0.63%,0.94%,1.34%,0.68%,0.80%
1018,สวนหลวง,-1.56%,-2.35%,-2.33%,-1.67%,-2.61%,-1.44%,-0.77%,-0.71%,-0.52%,-1.29%
1019,บางเขน,0.94%,-0.28%,-0.51%,-0.20%,0.03%,-0.24%,-0.32%,-0.32%,-0.26%,-0.28%
1020,ดอนเมือง,-1.40%,-0.87%,-1.99%,-1.95%,-3.47%,-1.73%,-0.38%,-0.72%,-1.01%,-2.51%
1021,จตุจักร,2.73%,2.54%,3.58%,3.54%,3.74%,2.51%,2.37%,2.08%,1.55%,2.24%
1022,บางกะปิ,-0.55%,-0.58%,-0.71%,-0.99%,-0.66%,-0.53%,-0.19%,-0.25%,-0.51%,-0.78%
1023,ลาดพร้าว,3.21%,2.97%,2.28%,1.81%,2.02%,1.34%,1.06%,0.85%,0.55%,0.79%
1024,บึงกุ่ม,-0.66%,-0.90%,-1.67%,-1.39%,-1.63%,-1.36%,-0.94%,-1.10%,-0.74%,-1.20%
1025,หนองจอก,-1.67%,-1.42%,-1.48%,-1.02%,-0.94%,-1.16%,-1.05%,-1.35%,-0.99%,-2.15%
1026,มีนบุรี,-1.87%,-1.72%,-1.88%,-1.62%,-1.96%,-1.25%,-1.05%,-1.22%,-0.84%,-1.76%
1027,ลาดกระบัง,3.27%,1.58%,0.17%,-0.46%,-0.57%,-0.27%,0.02%,-0.21%,-0.39%,-0.35%
1028,ธนบุรี,-1.90%,-1.18%,-1.81%,-1.25%,-2.23%,-1.35%,-1.35%,-1.75%,-0.67%,-1.69%
1029,คลองสาน,-1.83%,-1.44%,-2.29%,-2.59%,-2.63%,-2.10%,-1.25%,-1.16%,-0.80%,-1.43%
1030,บางกอกน้อย,-0.75%,-0.69%,-0.74%,-0.84%,-0.88%,-0.34%,0.06%,-0.36%,-0.45%,-0.95%
1031,บางพลัด,-1.04%,-1.48%,-1.83%,-1.12%,-2.48%,-1.60%,-1.44%,-1.32%,-0.76%,-1.31%
1032,บางกอกใหญ่,2.38%,1.86%,1.58%,0.96%,1.21%,1.49%,1.66%,1.76%,1.21%,2.61%
1033,ภาษีเจริญ,-1.31%,-1.25%,-3.14%,-1.56%,-2.15%,-1.34%,-0.86%,-0.78%,-0.70%,-2.12%
1034,บางขุนเทียน,0.70%,-0.19%,-0.16%,0.07%,-0.47%,0.27%,0.83%,1.44%,1.20%,1.62%
1035,จอมทอง,-0.79%,-0.74%,-1.03%,-1.05%,-1.12%,-0.43%,-0.52%,-0.72%,-0.59%,-0.93%
1036,ตลิ่งชัน,0.92%,0.91%,0.52%,0.56%,-0.09%,0.26%,0.72%,0.22%,0.63%,-0.21%
1037,ราษฎร์บูรณะ,-1.09%,0.51%,-1.37%,-1.10%,-4.37%,0.52%,0.37%,0.33%,0.09%,-1.93%
1038,หนองแขม,1.05%,0.79%,0.83%,0.12%,-0.28%,-0.02%,0.24%,-0.20%,-0.21%,-0.77%
1039,วัฒนา,0.18%,0.38%,-0.47%,0.32%,-0.10%,1.12%,1.08%,1.07%,0.55%,0.65%
1040,บางแค,0.56%,0.44%,0.01%,-0.15%,-0.47%,-0.26%,0.18%,-0.08%,0.10%,0.14%
1041,หลักสี่,-0.74%,-0.46%,-1.16%,-1.11%,-1.58%,-1.14%,-0.74%,-1.15%,-0.80%,-1.26%
1042,สายไหม,2.35%,1.91%,1.28%,2.63%,1.45%,1.17%,1.79%,1.55%,1.31%,1.68%
1043,คันนายาว,0.55%,0.66%,0.38%,0.50%,0.96%,1.49%,2.22%,1.83%,1.04%,2.49%
1044,สะพานสูง,1.31%,1.21%,1.07%,0.64%,0.38%,1.10%,1.63%,1.51%,0.88%,1.53%
1045,วังทองหลาง,0.03%,0.61%,0.02%,-0.01%,-0.53%,-0.29%,0.05%,-0.49%,-0.46%,-0.76%
1046,คลองสามวา,3.93%,3.71%,3.33%,3.69%,3.04%,2.65%,2.63%,2.73%,2.24%,3.57%
1047,บางนา,-0.33%,-0.87%,-0.91%,-0.70%,-1.85%,-1.22%,-0.68%,-0.93%,-0.71%,-1.73%
1048,ทวีวัฒนา,2.59%,2.61%,1.95%,1.59%,1.16%,1.08%,0.67%,0.43%,0.47%,0.53%
1049,ทุ่งครุ,1.04%,1.24%,1.04%,0.83%,0.60%,0.60%,0.98%,1.43%,0.81%,0.55%
1050,บางบอน,1.93%,1.68%,0.49%,1.03%,0.22%,0.38%,0.88%,0.99%,0.22%,-0.22%